Depth	Count
1	58212
2	16389
3	6034
4	2688
5	1548
6	1096
7	733
8	615
9	499
10	392
11	381
12	337
13	288
14	263
15	270
16	202
17	183
18	161
19	158
20	157
21	138
22	120
23	110
24	108
25	94
26	70
27	80
28	83
29	58
30	65
31	58
32	48
33	59
34	57
35	49
36	52
37	44
38	36
39	32
40	28
41	40
42	33
43	34
44	29
45	19
46	25
47	17
48	23
49	14
50	33
51	21
52	14
53	21
54	11
55	17
56	9
57	21
58	5
59	9
60	11
61	8
62	5
63	9
64	12
65	3
66	4
67	6
68	5
69	7
70	7
71	9
72	10
73	4
74	3
75	8
76	3
77	3
78	5
79	2
80	1
81	2
82	5
83	1
84	5
86	6
87	4
89	3
90	4
92	2
93	3
94	2
95	3
96	1
97	2
98	1
100	2
101	2
102	1
103	1
104	3
105	2
106	2
113	1
114	1
116	2
119	1
122	2
123	1
127	1
131	1
138	1
144	1
154	1
